ssn,trans_num,unix_time,merchant,amt,is_fraud
2198-3392916-2,3d85cc3b8af0c53fd94e6ab802ad3bbe,1636665690,Landmark Corp,1.74,0
2198-3392916-2,4794cb5c544bf4964602c9e139bd8d6a,1617560415,Club Gymnastica,51.31,0
2198-3392916-2,651202e8c37449941ac61930899a6b92,1636996418,Saulog Transit Inc,2.16,0
2198-3392916-2,816b9264c8fdb54e26cc5d214fe71e3a,1585373561,Session Groceries,27.39,0
2198-3392916-2,8ceb9a6630fd24b2153f650b44063e3b,1583677552,Fitness First,113.15,0
2198-3392916-2,ade201f6fe8cb1392b3f0fd6ada2f145,1585913917,Lazada,91.71,0
2198-3392916-2,c5021608a76cd65f579b4751ee3967a4,1619454218,Beiersdorf Philippines Inc.,36.4,0
2198-3392916-2,c9a53e65a1487ba8d4a07315789e4b47,1607694566,Inquirer Holdings Corporation,86.41,0
2198-3392916-2,cb592d16de578cfa03ac4772ddca9d57,1583660881,Unimart,215.31,0
2198-3392916-2,ceb0d52cd982614c594291d47b62d194,1605604440,Unimart,166.39,0
2198-3392916-2,d1b1464ccf9f442c89c5866a164ce7c6,1607836455,Power Mac Center,136.99,0
2198-3392916-2,54df74e0dfee20a8d4ed4db276a36c14,1614030573,DealGrocer,51.35,0
2198-3392916-2,57a5d68ab96bc8243513b3d65a9628f7,1588717935,Rebel Yoga,11.51,0
2198-3392916-2,767d0aa8317fbe5f1104c120b1b25e7a,1580223132,Nine Media Corporation,180.9,0
2198-3392916-2,9cb183b28e562bf0598ea46ef462df71,1638826161,Urban Pets,75.14,0
2198-3392916-2,a80ec1cf10cdeffcb3d9af9c3999a851,1607713003,Crate and Barrel,36.4,0
2198-3392916-2,b55527fd89a117e4f3f1efbb1a0d4e34,1608394993,Uratex Philippines,7.45,0
2198-3392916-2,cf1f792174ae0fbaaa38760c4f475f35,1609076535,Kultura,1.86,0
2198-3392916-2,d0b43773e0be42ce5ca2cb5b3b967a35,1607029367,Nine Media Corporation,47.6,0
2198-3392916-2,f5e91c9579c48069802e89ec2753a902,1588892028,Toy Kingdom,65.55,0
2198-3392916-2,077c7621f753525adbb1a426fa4c90ba,1588522123,Pacific Paint Philippines Inc,73.95,0
2198-3392916-2,179064dfc93d3e3ab557f94c025fd155,1603017242,Typo,81.84,0
2198-3392916-2,20f532b4c336e2866f29bedc65408908,1619967921,Play Nation,23.31,0
2198-3392916-2,2bacef72b2414eadd311cb58e0ee5ea5,1619387794,Gaisano Grand Group,1.14,0
2198-3392916-2,2c82d2d5a7cf57d0694ba1b41ee80e9e,1638479044,Philippine Educational Theater Association,37.28,0
2198-3392916-2,498c62f5a4f2964bc2885de4a853b950,1621143774,SM Retail Inc,184.94,0
2198-3392916-2,6977722672d7ee7868da08f405665892,1614237463,Pilipinas Shell,95.95,0
2198-3392916-2,6c5d59347615bb1ffdcf021831fcad00,1626595359,Rustans Supermarket,172.18,0
2198-3392916-2,eb4b47ccc6ad130c96432387d8dc10d5,1594586736,Zalora,12.04,0
2198-3392916-2,f7ca8cb4f74ca0cbf697491dfc6c9009,1621102914,National Bookstore,1.46,0
2198-3392916-2,3298950cd3ca120b8f910a8e53499de2,1626944130,Pushkart PH,57.56,0
2198-3392916-2,359245f1bcb0599925171d06baeef3a6,1627917153,Viva Entertainment,150.41,0
2198-3392916-2,3dfcf7b45c7139ef3da9c37d8f088257,1638035925,Daiso,1.07,0
2198-3392916-2,53b4bbb50d95491401acde08ea23ef39,1618211721,SM Retail Inc,189.93,0
2198-3392916-2,fe0e8ba6ac7de5080296bc2d0266699d,1625195052,Growcery MNL,112.94,0
2198-3392916-2,0128e7975bf5b2b5a3bb4b627e640fa7,1590740077,ZALORA Philippines,222.56,0
2198-3392916-2,164acf7bb78ce546a84ff79c73b45ef6,1593794647,Gold's Gym,15.96,0
2198-3392916-2,2ebcb1d09ebce9a1fd31284614e5820b,1623853499,Kultura,5.79,0
2198-3392916-2,459922ef204f11b5a01c16409a694725,1589449637,Savvys,56.13,0
2198-3392916-2,649920bbc3a65f2570d3f1b7fd475ae9,1593026051,Daiso,1.16,0
2198-3392916-2,7799355a35da54c995b613f21dbc6a30,1622384649,Cosmetique Asia Corp.,27.66,0
2198-3392916-2,84fcaab3e24ff7c161be105b10818681,1607739958,SeaOil Philippines Inc.,82.3,0
2198-3392916-2,86b65597a7e3d095910dc9c5981cd153,1626040332,The Upper Deck Gym,34.3,0
2198-3392916-2,d86cf680d7fea30357bcf54ba1ae2367,1592068274,Zalora,12.01,0
2198-3392916-2,2a5c90e87a4c757185f98e714de0c46f,1590318590,Liquigaz Philippines Corp.,88.06,0
2198-3392916-2,3cf1dee15686c3be34131bfbc64bddb0,1599553054,Robinsons Retail Holdings Inc,216.4,0
2198-3392916-2,660e6e82baf6ea256eb28db4d7c83518,1598640586,Gourdo,75.17,0
2198-3392916-2,8ebd353c3a483fb3836c812af0e8900e,1604179954,SM Store,21.66,0
2198-3392916-2,93cbec5a287e945ad0718f24191c867b,1625243316,True Value,5.24,0
2198-3392916-2,ad40233c14be320405ad0305a4c00bc1,1607427346,Travel Club,35.74,0
2198-3392916-2,03fdfe2900c1581fb09d5fc29c471582,1585884672,Waltermart Supermarket Inc,37.41,0
2198-3392916-2,3e934bf11ffcb1e70ce39c8380196217,1606629669,MedStoreRx,246.03,0
2198-3392916-2,8ea68ef1cfd9278ebb58191b51239122,1626617729,National Bookstore,5.75,0
2198-3392916-2,a1c26c78b90cb3a84a6ad5be317f759f,1624141041,Iams Co,6.61,0
2198-3392916-2,a577715d4b3a06ddab254888424bb9a0,1630392212,Unioil Petroleum Philippines Inc.,59.05,0
2198-3392916-2,ade01716294e3dc9db8ce788c22d9338,1598283132,Pet Warehouse,13.27,0
2198-3392916-2,238a33860c52ca4576956019822563bc,1591657666,MetroDeal,2.19,0
2198-3392916-2,332ef8438d10a19b4cf33cf83c1bab3e,1615802032,Landers,179.59,0
2198-3392916-2,50c7055fc565bb40a5fcf8ef908688d9,1630092553,McDonalds Corp,67.96,0
2198-3392916-2,5dc6cd67deeef9fa43d5cb407807846d,1585914498,Merkado Supermarket,186.74,0
2198-3392916-2,aa37b7a997b324df8f79be51ffbfa7d2,1615128726,Gourdo,124.31,0
2198-3392916-2,ab9ba9424b6001e6b52326de2e8d5a93,1601761890,TV5 Network Incorporated,30.69,0
2198-3392916-2,b0f0d13badcb8c3458f784f1fbe49b75,1577972065,Muji,5.66,0
2198-3392916-2,baea02a5f7eeb6330c5a424c59a1bdc9,1591487846,Mandaue Foam Industries Corp,28.45,0
2198-3392916-2,224412b4f8be8dbd46895f210f9832da,1608314683,Pacific Paint Philippines Inc,182.68,0
2198-3392916-2,43e5fdd7e9618d698331ed475302e750,1584278013,SilanganFit,24.09,0
2198-3392916-2,4839d61383975875d2fd7e93a5495144,1595274623,Dunkin Brands Group Inc,129.63,0
2198-3392916-2,6e6825ba9f8a78bcaf069451b0ad3791,1598819198,Happy Foods Group,27.49,0
2198-3392916-2,81566066e17c3d36a76a74c646bef656,1619209628,Muji,17.1,0
2198-3392916-2,86311514dbc701a4081c8d632100a56e,1629711436,Kimstore,112.35,0
2198-3392916-2,8a7acc8f82637d69e383f5553e86c5f1,1634348418,CleanFuel Philippines,83.27,0
2198-3392916-2,8b90df2ce62734977ed393d3eb955c34,1627359726,All Day Supermarket,232.81,0
2198-3392916-2,9969857330a601a5947edbb3c9dcbd1e,1622333903,Six Pack Chef Grocery,56.0,0
2198-3392916-2,c225c3df89a6dec62897687395c3fb85,1607121851,Gourdo,29.38,0
2198-3392916-2,c91abca4e1560ef9250a478c205517a4,1589490471,Slimmers World,56.43,0
2198-3392916-2,e63fe01af51609865cc300faa3980abe,1590610264,Rustan's,275.85,0
2198-3392916-2,f026c93b0aa73757a3165efee47ba89b,1629872636,All Day Supermarket,167.91,0
2198-3392916-2,2402a964397f88136028bb54a9ebbf93,1617803309,Crate and Barrel,95.56,0
2198-3392916-2,25f983944b9c90afda76f6f525decc37,1636736500,Royal Canin Philippines,59.2,0
2198-3392916-2,305a60884ad39e1658953c8396e9d2bf,1615538188,Hawk Bags,49.46,0
2198-3392916-2,3cadf4374c46e9667aad1d449fd7e2d2,1623590778,Crate and Barrel,79.25,0
2198-3392916-2,71929ac0aadf70fd9273d55f5d78c67d,1638584612,Landers,186.93,0
2198-3392916-2,7880e44ba0b4f86977cb40d394821f12,1599433937,Starbucks Corp,51.09,0
2198-3392916-2,7a265ea2b1621b46d4af8853f94c801c,1593004549,Hill's Pet Nutrition Inc.,129.68,0
2198-3392916-2,9c6a9d8e6b63ace7e937839f4c388f5f,1584906817,Max's Group Inc,99.5,0
2198-3392916-2,a8f8ec7b64ce0c04630b0868da0cea50,1589026164,Debenhams,7.65,0
2198-3392916-2,e35f79e9eb0a091187dd9e2da025cd63,1609144760,Waltermart Supermarket Inc,219.97,0
2198-3392916-2,eddb471d751b47dc0e8b97c8939f4158,1634000331,ZAFUL Philippines,112.34,0
2198-3392916-2,7e697073d4fcd4c93ed7ca43494004f7,1615840064,Star Cinema,216.59,0
2198-3392916-2,9097030ff938701f6258a0b5ad48ceb0,1636308898,Japan Homes,53.29,0
2198-3392916-2,a1a07db43319b2fcffd9493702cf3532,1625919346,Urban Ashram Yoga,60.02,0
2198-3392916-2,a92bcd9aa90722a88e0cf8bd31559686,1599205427,Ensogo,18.75,0
2198-3392916-2,b133454307d71c3cbeddeac4b2d8ccf0,1633118322,The Bistro Group,52.82,0
2198-3392916-2,dc61ecca2c107c0345eb0fa4316641d0,1625422337,Star Cinema,72.36,0
2198-3392916-2,dcf1e8a6923c93ed0a20e4dcf91cb2b2,1601804147,Miniso,82.31,0
2198-3392916-2,f05de28543535eea145e3c78231db29f,1612042992,Yum! Brands Inc,14.62,0
2198-3392916-2,f874fa81b6796150433c34f7e548f8c9,1634937242,Anytime Fitness,157.12,0
2198-3392916-2,6d7775734d6c67b35da92b0f930860ac,1631714342,Human Nature,52.17,0
2198-3392916-2,7235cfa831743a942423cd376201b30c,1611919582,DIY Hardware,5.37,0
2198-3392916-2,8ee435e8d0b13c756bbd5b370628dcfb,1619166912,Landmark Supermarket,181.22,0
2198-3392916-2,9f18132f62b533ff28a807179bdc59d8,1618874333,Daiso,3.7,0
2198-3392916-2,c6de9b0c9cff5c801ce7527e8b4113a1,1598789866,Unilever Philippines Inc.,164.99,0
2198-3392916-2,c91f7c0483ad829f646805ab9222c900,1608187517,Office Warehouse,15.94,0
2198-3392916-2,dbefd0809a0ac1f55efdff6ada0d6e56,1620530005,Ensogo,36.51,0
2198-3392916-2,e131759b7ac4078705c810e5d297cfad,1596793499,Growcery MNL,68.26,0
2198-3392916-2,004f56cb259d12394bae6528154a870f,1609166281,Urban Pets,77.35,0
2198-3392916-2,1313df3944dc1507d91d23983170edb9,1612130546,Ikea,56.32,0
2198-3392916-2,16d6030e2dc2a2c0091a7289c2e106a1,1613691105,Victory Liner,6.37,0
2198-3392916-2,304f2f71ea939aceed8bf40566328f4b,1628358246,The Table Group,87.32,0
2198-3392916-2,3440140635addb7b2bd156bb0cd7a9fa,1608928987,Muji,6.02,0
2198-3392916-2,5e733ceec60f47ac692b515096c11742,1595011268,Curves,52.78,0
2198-3392916-2,9ad5d5db0c7dfb7282819b657ac61622,1605481854,Gaisano Grand Group,8.91,0
2198-3392916-2,a7214adf66d46bdcb2a49849264bef16,1597273799,Innisfree,38.29,0
2198-3392916-2,d4742e295be781a2ad40a1d5a1535967,1625511708,Philippine Airlines,9.6,0
2198-3392916-2,fdc85b290e7da7f5911fe71890cd45ae,1608286251,Rare Food Shop,25.45,0
2198-3392916-2,019b461b361db0945e9184bc66ecec8b,1603031392,Hill's Pet Nutrition Inc.,117.01,0
2198-3392916-2,29552ac6803db9053e939fcd49f25fdb,1618165332,West Elm,9.13,0
2198-3392916-2,2cc8b0ef2427e0c2b168e1c6e5896343,1606809414,All Day Supermarket,168.89,0
2198-3392916-2,51d304fb6555aaa9c302b43810aebb6c,1595518085,Muji,8.44,0
2198-3392916-2,853d41c431334330a6ef65638a6c106e,1605918633,OLX,85.26,0
2198-3392916-2,93b382d6a3daab65a86aa319e9337840,1626735153,Pound for Pound Fitness,30.45,0
2198-3392916-2,cbaf3acdf56d5176def18b489741a656,1626124580,SB Furniture Industry Co,37.79,0
2198-3392916-2,20ac300d371eee1abc4de9d5312dff49,1588832166,Lazada,82.98,0
2198-3392916-2,2b83e30bd7443246944c8bfe042d0697,1598566131,Solar Entertainment,194.57,0
2198-3392916-2,7d8f47eaa33165de7dad248fea26f16b,1625876450,Ensogo,6.82,0
2198-3392916-2,842e0efb777d40baee09705137d9ee06,1596309245,Marks and Spencer,4.77,0
2198-3392916-2,8bc5641f7594cefab8ff83afe0bb814e,1635509066,Tier One Entertainment,232.4,0
2198-3392916-2,8c14e21aa2c558be50a411ebe6cc5059,1587673372,Mary Kay Philippines,216.1,0
2198-3392916-2,b9707001ca19e14d8273ab03cfac6b12,1599737350,Gourdos,186.22,0
2198-3392916-2,c0eee4fa2b098de93f203d1d170259d4,1599637199,Total SE,61.27,0
2198-3392916-2,d008643f691a254cee38cc2b32e2fc72,1607393986,Limon Farms,35.8,0
2198-3392916-2,d74d56d0a67a630430619c296bc4db79,1603484281,Jollibee Foods Corporation,86.97,0
2198-3392916-2,e0106aba7831e802e3b4a9de5cb2e659,1583069543,Baliwag Transit Inc,5.9,0
2198-3392916-2,e203ab66b39ba1f26fa94d9b064513d4,1623450169,Ikea,67.39,0
2198-3392916-2,f2a679dae67240646a4ef0137ef80b6f,1627962385,All Day Supermarket,230.66,0
2198-3392916-2,0d7b7bd0680975363941d822f19a67d5,1631419988,GoRobinsons,30.16,0
2198-3392916-2,1d39aa1a3c8a3befc2e2394d819ebaa5,1623652817,Metro Retail Stores Group,191.28,0
2198-3392916-2,638c808420b68fc7948c9aaa7fe54502,1606875694,Unioil Petroleum Philippines Inc.,63.32,0
2198-3392916-2,66afbecab9890f40c5147fb5ff433523,1591993994,Curves,86.95,0
2198-3392916-2,b16c0fa5ee2123439bfc6c05bea99990,1608577317,Mandaue Foam Industries Corp,12.65,0
2198-3392916-2,e9c53a6ec5b76c95232661849ce8c8b4,1601655976,Robinsons,6.1,0
2198-3392916-2,e9efbe8a442f349c71ca255517284eab,1602352984,The Moment Group,71.05,0
2198-3392916-2,27c037e69f4c00e74458cef74143971b,1609361170,Sawasdee Marketing Corp,50.68,0
2198-3392916-2,55a575319dca7a6f8f083193cabb0eb0,1588641978,Landmark Supermarket,190.04,0
2198-3392916-2,55ee659e8bc94b7efb571fc1d4f269ae,1627537730,Puregold Price Club Inc,236.45,0
2198-3392916-2,63833e0598edfc38d1ae5e08285075a8,1601403884,The Upper Deck Gym,139.04,0
2198-3392916-2,75d31c09ec60551e2dcd71e3b0278bbd,1616894376,Rustans Supermarket,254.38,0
2198-3392916-2,7e24fd07fdd07ce77a4bb20f817e8827,1580833906,True Value,17.75,0
2198-3392916-2,bb4f90e5b1b3226cbda6d6d5ae7a7731,1592167546,Point-to-Point,8.52,0
2198-3392916-2,e4c67e16138368491a764f6893c81f2f,1628436652,Royal Canin Philippines,142.87,0
2198-3392916-2,ef36eaaa2bc3cfc135a220c316f2253e,1585214898,S&R Membership Shopping,169.42,0
2198-3392916-2,f285fa783d275180d665c06272befec4,1601144373,BeautyMNL,176.33,0
2198-3392916-2,20b54f9d7ffeafd6fc1b3f40b5cf03f4,1604700420,Buena Vista Travel and Tours,3.19,0
2198-3392916-2,2d189b31ce936f2cf6b3cc76b6f4901d,1608916696,The Table Group,71.62,0
2198-3392916-2,5ac47851a45ea73d6b176dd28326096c,1638362622,Marks and Spencer,123.89,0
2198-3392916-2,90466b50b5348eca02d3706cdbd25ccf,1624884600,Rustan Group,6.73,0
2198-3392916-2,b12c23b515800a6750d831576bc05b56,1607189664,Anytime Fitness,30.74,0
2198-3392916-2,c2108b0aa317f87157f08f478c3c081c,1595889721,Gaisano Grand Group,8.62,0
2198-3392916-2,00684a2ce057b80d2389ac68147d1c4c,1599984573,S&R Membership Shopping,193.34,0
2198-3392916-2,0691948f0a87b65dc7b711b3e1f533cf,1603981885,The Bistro Group,83.54,0
2198-3392916-2,3a75bb1c592a6508f450110ce73faef3,1585261680,Cornerstone Entertainment,23.76,0
2198-3392916-2,6aa4523c4dd91dddf81a9b020bfeafcf,1579241006,Puregold Price Club Inc,197.28,0
2198-3392916-2,9717774ab1760704b04600278fca9b22,1607404080,Rustans Supermarket,239.03,0
2198-3392916-2,9cc52c81af576cfb94b744ea52b22233,1622412859,Landmark Corp,3.49,0
2198-3392916-2,a95c69936960357617306056b643231d,1593378800,Nine Media Corporation,390.7,0
2198-3392916-2,ac104b7adb4546aa726ed46145d2ee87,1628507825,Bratpack,105.38,0
2198-3392916-2,bb164fcb4e17c477e45fb1c17e5f6a84,1578662659,SM Retail Inc,32.24,0
2198-3392916-2,c4ea5592376ef28da8bd82e321286058,1607792154,Rustan Group,7.55,0
2198-3392916-2,d1bfc93f68daacde81afca629229b463,1620383268,All Day Supermarket,180.89,0
2198-3392916-2,eb0059aa6e2cf39ff39d0470bd1b6ee5,1587164852,Philippine Educational Theater Association,6.66,0
2198-3392916-2,ee5f77a4c6722f9d11955aac473b5a7d,1619131842,Pound for Pound Fitness,83.32,0
2198-3392916-2,f465801a1719e5989d4285232a8414fb,1602396958,Rustans Supermarket,211.68,0
2198-3392916-2,f905c11c6ae013e036fd322f346dab50,1632597795,Robinsons,15.69,0
2198-3392916-2,0c2fba904647f58c7e339515e4c60602,1617304334,Mandaue Foam Industries Corp,102.53,0
2198-3392916-2,1cd6139b9411554dbfba763b1daa9264,1615626964,Robinsons Retail Holdings Inc,226.89,0
2198-3392916-2,4763524e4856d1da2c3cef14ccc45ce9,1593926566,MedStoreRx,12.67,0
2198-3392916-2,5e1e48aa07be76e0719342ab294a46f8,1619891214,Goldilocks Bakeshop Inc,28.37,0
2198-3392916-2,5fb595605869cd3cd28b8562689cb53e,1620255260,Shakey's International Inc.,94.64,0
2198-3392916-2,6be8d6e88eb4878e2c42cc4325e60df2,1623602851,Slimmers World,26.31,0
2198-3392916-2,72c92d39a51f40a1552469fbb999dc38,1618512228,Beiersdorf Philippines Inc.,30.78,0
2198-3392916-2,75ff8c21f2397c21a51d8c7f7080e7dc,1602172057,Timezone,78.65,0
2198-3392916-2,84bc45c68c31b3eef49f61d47fce15d7,1597524406,Eventscape Manila,83.59,0
2198-3392916-2,a967e1f999d79082b8362aa78106c2ef,1607552334,Debenhams,585.5,0
2198-3392916-2,05f93a18e545281d434f335c6572eb36,1626799991,Office Warehouse,30.76,0
2198-3392916-2,80b343b992f36cec5f7007cd3a4f95ee,1627107144,Phoenix Petroleum,71.56,0
2198-3392916-2,84640d97dcf88d58c62269edb1307d0a,1629672156,Eventscape Manila,39.92,0
2198-3392916-2,8e0b6f77ba6eef4d51b6c321774ff9b6,1629372149,Rare Food Shop,37.66,0
2198-3392916-2,ab10c8c90ea1c5ef27f370eecf9ebdaf,1608364685,Pioneer Center Supermarket,211.84,0
2198-3392916-2,ad554d79798552b5868970cc9eaece8b,1626696873,Rustan Group,4.8,0
2198-3392916-2,bccb39fe66ea5be1f0195c559befd01a,1577969508,Starbucks Corp,106.09,0
2198-3392916-2,c3ce82cb96140028ca2a1d696c91a3d6,1591343087,Caltex (Chevron Corporation),55.77,0
2198-3392916-2,d0c9999b023dcd0574a3a9121b99ddea,1607075294,Waltermart Supermarket Inc,203.22,0
2198-3392916-2,d1d4884b5d61ee4df18b378d3776353b,1618634409,Homeshop,39.11,0
2198-3392916-2,d60a9d9953d82915ed3de509e5adbc65,1638501164,Puregold Price Club Inc,206.84,0
2198-3392916-2,f02c215b2aeb1dc4104549ddc1c7631b,1625440564,Innisfree,84.42,0
2198-3392916-2,26cc9796a9a0c8980f646dd065a0506f,1611720483,Robinsons Retail Holdings Inc,196.5,0
2198-3392916-2,2be4f710a3f60d1833e0827b02f8ebc6,1592490924,Shakey's International Inc.,41.42,0
2198-3392916-2,a936630593669a058a03f844b31c3d69,1585842859,PoundIt,123.96,0
2198-3392916-2,a946e221bc7f3ec7d808a3f9122d0e53,1609686430,Gaisano Grand Group,122.31,0
2198-3392916-2,e5f38a7234679124017ab10f077a2277,1638748692,Yves Rocher,127.83,0
2198-3392916-2,014a27c1d9aa9d0040c7901b830ca847,1579264050,Star Cinema,20.57,0
2198-3392916-2,47eedfd01435270f94e9eb1e11e57202,1581430840,Toy Kingdom,17.26,0
2198-3392916-2,5fe8bad21d311103304c919e152b4696,1601207965,Zagana,47.78,0
2198-3392916-2,6aa430d57f8a39596d600bd38420b9ba,1584635389,Innisfree,157.06,0
2198-3392916-2,9918f90071c8b6c53b37ecb3a98f08a9,1580407010,Debenhams,9.74,0
2198-3392916-2,d5be6a37776be0a2343843c8a73d55ae,1624131732,Gaisano Grand Group,1.37,0
2198-3392916-2,da729ffac2f57d5e4c4aec73dcfa1cf2,1623872001,Genesis,8.67,0
2198-3392916-2,03c32b231942c5e72bd22ddd549ca3bb,1634537591,Office Warehouse,383.35,0
2198-3392916-2,0ead2ef727896e924332491380976aba,1632600905,Club Gymnastica,26.42,0
2198-3392916-2,2ec889880199878c4d1da49e3206971f,1598045936,Tupperware Brands Philippines,136.67,0
2198-3392916-2,327a63bd4a26eb72bbbd1f50711af8ee,1624722728,The Moment Group,17.09,0
2198-3392916-2,3bd662560d2ee5c15ead3594cc5f9201,1597513148,Urban Pets,45.42,0
2198-3392916-2,41d26481c4682606b74806b1cc5c2f6f,1592754865,Gaisano Grand Group,1023.08,0
2198-3392916-2,4d8a883f21cab592c37de1ae1dbae94b,1606904692,Limon Farms,72.08,0
2198-3392916-2,4dd66de21601a07ec4ff5fc9304a4942,1630586403,Pound for Pound Fitness,59.37,0
2198-3392916-2,53652f7170a139cb9a533b7da0c600c7,1616856373,Unilever Philippines Inc.,59.99,0
2198-3392916-2,7a7102101ae3792adde53504ffa6dd84,1625013312,Lamudi,51.38,0
2198-3392916-2,7ca0c1d6f9b2187d84b242e10577d371,1604723779,Homeshop,55.9,0
2198-3392916-2,8686aaeb552a44b79fbea0596f71a307,1615393518,Nature Republic,3.33,0
2198-3392916-2,8fd85d826ec6c2965b1b76b5cf3c580f,1609609785,Urban Pets,63.54,0
2198-3392916-2,9754e8a7049c77b8c2294957ab5cacd0,1622899633,Solar Entertainment,60.57,0
2198-3392916-2,a5e5938c004a5db47ed50108fc6a8f7a,1603627683,Play Nation,56.01,0
2198-3392916-2,a7ee6b4ea30292c45ecf631ca28778f1,1583894957,S&R Membership Shopping,198.46,0
2198-3392916-2,0ae420a72c768ad591149b9e84b88298,1637467895,Robinsons Retail Holdings Inc,183.11,0
2198-3392916-2,19a8d0942ffd3998433588cd5546af96,1602939368,Nature Republic,37.7,0
2198-3392916-2,e68a9e088245568162a68b8206d3ae3d,1618592792,PetExpress,89.3,0
2198-3392916-2,ff0a81d645e5bd85170dd2832df70973,1585956254,West Elm,38.09,0
2198-3392916-2,1b72465b0acc78aadd5650779b722001,1615056521,Nine Media Corporation,28.42,0
2198-3392916-2,78aceef9ff43337a8f1c3ed2284c0d3d,1638544898,Eventscape Manila,27.97,0
2198-3392916-2,ebe873f9047302a408e3a55ff7449d05,1606952768,360 Fitness Club,50.8,0
2198-3392916-2,09f0f1d8a23f4ef56419f56434f76a1e,1613805618,Merkado Supermarket,173.02,0
2198-3392916-2,297bfb9cd61461b446e0fe64490884e0,1622136608,SM Store,6.62,0
2198-3392916-2,555c47a43f2070668df88cc6bc70015b,1603270678,Kimstore,50.32,0
2198-3392916-2,9dddf9380cab958d5f23d8928ebc6a51,1616699451,Pet Warehouse,159.64,0
2198-3392916-2,b10bcace20285554249018b089b71477,1596007613,Decathlon,32.74,0
2198-3392916-2,b7749d1e08742e3620204c4f1015d9bf,1589967104,Carlo Pacific,179.22,0
2198-3392916-2,b822012fecc8f796fa95609519b75185,1595111856,eBay,72.19,0
2198-3392916-2,bb2073838aabf208b481ba069b02e568,1579979305,L'Oreal Philippines Inc.,26.0,0
2198-3392916-2,c75b44be97ef7e366a7423816fb1d64f,1587715563,CD-R King,92.16,0
2198-3392916-2,e57b0a1f377236ae18d1bf21ead7b790,1598109939,Shopee,292.75,0
2198-3392916-2,e7b2fc107b4d0840e2c951371a714d01,1596923953,Japan Home Center,45.6,0
2198-3392916-2,e981a0fd1cb844fbc672b78178e43d74,1626036079,Rustan Group,2.16,0
2198-3392916-2,14a4e7dc3d7642c444b2c7cbc4ca2be4,1604187010,West Elm,58.39,0
2198-3392916-2,23bb6487415f98418f9b06e4516dceaa,1632656770,Octagon,259.91,0
2198-3392916-2,26e8f88dd8084ccddd7076afaef0a3da,1622377175,Mary Kay Philippines,14.26,0
2198-3392916-2,32573066f8b320589223614ac49af152,1583613632,Zalora,99.56,0
2198-3392916-2,5f02ee63bbdcb2bfed0756119085b8b7,1636476772,L'Oreal Philippines Inc.,10.8,0
2198-3392916-2,706ca91123f87aa4719930e61197fe9a,1584382087,Pacific Paint Philippines Inc,47.74,0
2198-3392916-2,73d0bf829676bd85559fb3c157933522,1593142968,Rare Food Shop,52.62,0
2198-3392916-2,8db2c3b2373485adcfcc7bf6d29b1609,1635610215,Royal Canin Philippines,26.49,0
2198-3392916-2,91e72eab7c0ebfc4ddf05c043447a82a,1634353782,Puregold Price Club Inc,171.04,0
2198-3392916-2,987e1048a9f01ad02b4a14c4b3b69a2c,1589374227,O Shopping,317.45,0
2198-3392916-2,b0599f21bc7168a58c172d5c04902f1e,1615659521,SM Retail Inc,1146.24,0
